2016-02-17 23:36:46 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
2016-02-17 23:36:46 install libpcre3:armhf <none> 1:8.31-2ubuntu2
2016-02-17 23:36:46 status half-installed libpcre3:armhf 1:8.31-2ubuntu2
2016-02-17 23:36:46 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2016-02-17 23:36:46 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2016-02-17 23:36:47 install libplymouth2:armhf <none> 0.8.8-0ubuntu17
2016-02-17 23:36:47 status half-installed libplymouth2:armhf 0.8.8-0ubuntu17
2016-02-17 23:36:47 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2016-02-17 23:36:47 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2016-02-17 23:36:47 install libpng12-0:armhf <none> 1.2.50-1ubuntu2
2016-02-17 23:36:47 status half-installed libpng12-0:armhf 1.2.50-1ubuntu2
2016-02-17 23:36:47 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2016-02-17 23:36:47 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2016-02-17 23:36:48 install libprocps3:armhf <none> 1:3.3.9-1ubuntu2
2016-02-17 23:36:48 status half-installed libprocps3:armhf 1:3.3.9-1ubuntu2
2016-02-17 23:36:48 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2016-02-17 23:36:48 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2016-02-17 23:36:48 install libselinux1:armhf <none> 2.2.2-1
2016-02-17 23:36:48 status half-installed libselinux1:armhf 2.2.2-1
2016-02-17 23:36:48 status unpacked libselinux1:armhf 2.2.2-1
2016-02-17 23:36:48 status unpacked libselinux1:armhf 2.2.2-1
2016-02-17 23:36:48 install libsemanage-common:all <none> 2.2-1
2016-02-17 23:36:48 status half-installed libsemanage-common:all 2.2-1
2016-02-17 23:36:49 status unpacked libsemanage-common:all 2.2-1
2016-02-17 23:36:49 status unpacked libsemanage-common:all 2.2-1
2016-02-17 23:36:49 install libsemanage1:armhf <none> 2.2-1
2016-02-17 23:36:49 status half-installed libsemanage1:armhf 2.2-1
2016-02-17 23:36:49 status unpacked libsemanage1:armhf 2.2-1
2016-02-17 23:36:49 status unpacked libsemanage1:armhf 2.2-1
2016-02-17 23:36:49 install libsepol1:armhf <none> 2.2-1
2016-02-17 23:36:49 status half-installed libsepol1:armhf 2.2-1
2016-02-17 23:36:50 status unpacked libsepol1:armhf 2.2-1
2016-02-17 23:36:50 status unpacked libsepol1:armhf 2.2-1
2016-02-17 23:36:50 install libslang2:armhf <none> 2.2.4-15ubuntu1
2016-02-17 23:36:50 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2016-02-17 23:36:50 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2016-02-17 23:36:50 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2016-02-17 23:36:50 install libss2:armhf <none> 1.42.9-3ubuntu1
2016-02-17 23:36:50 status half-installed libss2:armhf 1.42.9-3ubuntu1
